DID	    Desciption	                    Length (Byte)	Value	ASCII to HEX	Physical Addressing	Functional Addressing
0110	Manufactory mode	                1	         ff          No                   YES                 YES
0140	Transportation mode	                1	         00		     No                   YES	              YES
0200	Reprogramming Counter	            2			                                  YES	              YES
0201	Reprogramming Attempt Counter	    2			YES	YES
F100	UDS Protol Version 	2	2006		YES	YES
F101	DCID	3	400000		YES	YES
F102	MTOC	17	3030303030303030303030303030303030		YES	YES
F10B	GAC Diagnostic Parameter Table Version	4	534F5039		YES	YES
F10D	GAC diagnostic Specification Version DataIdentifier  	3	18171b		YES	YES
F17F	GACECUHardwareVersionNumberDataIdentifier	17	383748484152443032302020482E303030		YES	YES
F180	bootSoftwareIdentification	17	383534303030394152443032422E303030		YES	YES
F181	applicationSoftwareIdentificationDataIdentifier  	17	383534303030394152443032412E303031		YES	YES
F184	ApplicationSoftwareFingerprintDataIdentifier	10			YES	YES
F186  	activeDiagnosticSessionDataIdentifier	1			YES	YES
F187	GAC SparePartNumberDataIdentifier	14	3835343030303941524430323030		YES	YES
F189	GACECUSoftwareVersionNumberDataIdentifier	17	383738484152443032302020532E303031		YES	YES
F18A	systemSupplierIdentifierDataIdentifier	9			YES	YES
F18C	ECUSerialNumberDataIdentifier	16			YES	YES
F18E	GAC KitAssemblyPartNumberDataIdentifier	14			YES	YES
F190	VIN	17			YES	YES
F195	systemSupplierECUSoftwareVersion	10	BL05RC07_1		YES	YES
F193	systemSupplier ECU Hardware Version	16			YES	YES
F197	systemNameDataIdentifier	20			YES	YES
F199	programmingDateDataIdentifier	4	20000101		YES	YES
F1B2	ECUCalibration SoftwareIdentification 	17	383534303030394152443032432E303031		YES	YES
1000	Power Voltage	1			YES	YES
0308	Distance between target and vehicle	2			YES	YES
0302	Calibration Status	1	00		YES	YES
0303	mode (Calibration Mode)	1	00		YES	YES
0304	EOL calibration parameters(Static Calibration)	8			YES	YES
0305	camera dynamic parameters (Online Calibration)	8			YES	YES
0306	Dynamic calibration parameters (Initial Online Calibration)	8			YES	YES
0307	Rate of progress in Dynamic Calibration	2	0000		YES	YES
0101	Variant Coding	1			YES	YES
0100	function configuration	2	0000		YES	YES
